Date,Total Value,Cash,Holdings Value
2023-10-19,137566262.34,9788174.340000004,127778088.0
2023-10-20,134678098.34,9788174.340000004,124889924.0
2023-10-23,134408322.34,9788174.340000004,124620148.0
2023-10-24,136887062.34,9788174.340000004,127098888.0
2023-10-25,133431134.34,9788174.340000004,123642960.0
2023-10-26,129264772.34,9788174.340000004,119476598.0
2023-10-27,129699750.34,9788174.340000004,119911576.0
2023-10-30,129821454.34,9788174.340000004,120033280.0
2023-10-31,126959650.34,9788174.340000004,117171476.0
2023-11-01,127219380.34,9788174.340000004,117431206.0
2023-11-02,130980529.34,9788174.340000004,121192355.0
2023-11-03,132423724.34,9788174.340000004,122635550.0
2023-11-06,142242528.34,9788174.340000004,132454354.0
2023-11-07,136463669.34,9788174.340000004,126675495.0
2023-11-08,134545830.34,9788174.340000004,124757656.0
2023-11-09,134236528.34,9788174.340000004,124448354.0
2023-11-10,132811815.34,9788174.340000004,123023641.0
2023-11-13,133897742.34,10640774.340000004,123256968.0
2023-11-14,136256679.34,10640774.340000004,125615905.0
2023-11-15,139766242.34,10640774.340000004,129125468.0
2023-11-16,139855758.34,10640774.340000004,129214984.0
2023-11-17,138871223.34,10640774.340000004,128230449.0
2023-11-20,139996914.34,10640774.340000004,129356140.0
2023-11-21,140519516.34,10640774.340000004,129878742.0
2023-11-22,140362983.34,10640774.340000004,129722209.0
2023-11-23,141001477.34,10640774.340000004,130360703.0
2023-11-24,139745016.34,10640774.340000004,129104242.0
2023-11-27,139342927.34,10640774.340000004,128702153.0
2023-11-28,140669336.34,10640774.340000004,130028562.0
2023-11-29,141550749.34,10640774.340000004,130909975.0
2023-11-30,142111057.34,10640774.340000004,131470283.0
2023-12-01,139645177.34,10640774.340000004,129004403.0
2023-12-04,139117927.34,10640774.340000004,128477153.0
2023-12-05,137773257.34,10640774.340000004,127132483.0
2023-12-06,137231075.34,10640774.340000004,126590301.0
2023-12-07,137292587.34,10640774.340000004,126651813.0
2023-12-08,139839184.34,10640774.340000004,129198410.0
2023-12-11,140835010.34,11480674.340000004,129354336.0
2023-12-12,140948567.34,11480674.340000004,129467893.0
2023-12-13,139307088.34,11480674.340000004,127826414.0
2023-12-14,141622891.34,11480674.340000004,130142217.0
2023-12-15,144645226.34,11480674.340000004,133164552.0
2023-12-18,144769329.34,11480674.340000004,133288655.0
2023-12-19,145029972.34,11480674.340000004,133549298.0
2023-12-20,147689077.34,11480674.340000004,136208403.0
2023-12-21,146487829.34,11480674.340000004,135007155.0
2023-12-22,146343404.34,11480674.340000004,134862730.0
2023-12-26,146275578.34,11480674.340000004,134794904.0
2023-12-27,148078514.34,11480674.340000004,136597840.0
2023-12-28,150692356.34,11480674.340000004,139211682.0
2024-01-02,150363880.34,11480674.340000004,138883206.0
2024-01-03,145984354.34,11480674.340000004,134503680.0
2024-01-04,145179772.34,11480674.340000004,133699098.0
2024-01-05,144928327.34,11480674.340000004,133447653.0
2024-01-08,144400531.888,1650649.8880000114,142749882.0
2024-01-09,143942398.888,1650649.8880000114,142291749.0
2024-01-10,142364633.888,1650649.8880000114,140713984.0
2024-01-11,142625100.888,1650649.8880000114,140974451.0
2024-01-12,141139535.888,1650649.8880000114,139488886.0
2024-01-15,140918834.888,1650649.8880000114,139268185.0
2024-01-16,139796371.888,1650649.8880000114,138145722.0
2024-01-17,135714092.888,1650649.8880000114,134063443.0
2024-01-18,136035418.888,1650649.8880000114,134384769.0
2024-01-19,136855022.888,1650649.8880000114,135204373.0
2024-01-22,135501627.888,1650649.8880000114,133850978.0
2024-01-23,136304887.888,1650649.8880000114,134654238.0
2024-01-24,136246032.888,1650649.8880000114,134595383.0
2024-01-25,136085458.888,1650649.8880000114,134434809.0
2024-01-26,137480856.888,1650649.8880000114,135830207.0
2024-01-29,140374733.888,1650649.8880000114,138724084.0
2024-01-30,140080485.888,1650649.8880000114,138429836.0
2024-01-31,140757131.888,1650649.8880000114,139106482.0
2024-02-01,142586042.888,1650649.8880000114,140935393.0
2024-02-02,150487193.888,1650649.8880000114,148836544.0
2024-02-05,149577025.888,1650649.8880000114,147926376.0
2024-02-06,147497498.888,1650649.8880000114,145846849.0
2024-02-07,149367799.888,1650649.8880000114,147717150.0
2024-02-08,150417363.888,1650649.8880000114,148766714.0
2024-02-13,153077255.888,2575449.8880000114,150501806.0
2024-02-14,151376769.888,2575449.8880000114,148801320.0
2024-02-15,151167973.888,2575449.8880000114,148592524.0
2024-02-16,154242995.888,2575449.8880000114,151667546.0
2024-02-19,154419099.888,2575449.8880000114,151843650.0
2024-02-20,153014661.888,2575449.8880000114,150439212.0
2024-02-21,152934463.888,2575449.8880000114,150359014.0
2024-02-22,153646933.888,2575449.8880000114,151071484.0
2024-02-23,153080931.888,2575449.8880000114,150505482.0
2024-02-26,152250251.888,2575449.8880000114,149674802.0
2024-02-27,150120473.888,2575449.8880000114,147545024.0
2024-02-28,152501453.888,2575449.8880000114,149926004.0
2024-02-29,151922574.888,2575449.8880000114,149347125.0
2024-03-04,154554290.888,2575449.8880000114,151978841.0
2024-03-05,151991024.888,2575449.8880000114,149415575.0
2024-03-06,151862777.888,2575449.8880000114,149287328.0
2024-03-07,153989366.888,2575449.8880000114,151413917.0
2024-03-08,156882766.888,2575449.8880000114,154307317.0
2024-03-11,155122750.888,3503049.8880000114,151619701.0
2024-03-12,158214439.888,3503049.8880000114,154711390.0
2024-03-13,158179546.888,3503049.8880000114,154676497.0
2024-03-14,157817178.888,3503049.8880000114,154314129.0
2024-03-15,154114566.888,3503049.8880000114,150611517.0
2024-03-18,156777383.888,3503049.8880000114,153274334.0
2024-03-19,153906775.888,3503049.8880000114,150403726.0
2024-03-20,154242081.888,3503049.8880000114,150739032.0
2024-03-21,157536671.888,3503049.8880000114,154033622.0
2024-03-22,157168863.888,3503049.8880000114,153665814.0
2024-03-25,157307124.888,3503049.8880000114,153804075.0
2024-03-26,157623207.888,3503049.8880000114,154120158.0
2024-03-27,158574288.888,3503049.8880000114,155071239.0
2024-03-28,156770172.888,3503049.8880000114,153267123.0
2024-03-29,156532988.888,3503049.8880000114,153029939.0
2024-04-01,155295981.888,3503049.8880000114,151792932.0
2024-04-02,154013074.888,3503049.8880000114,150510025.0
2024-04-03,149977635.888,3503049.8880000114,146474586.0
2024-04-04,153500900.888,3503049.8880000114,149997851.0
2024-04-05,151233052.888,3503049.8880000114,147730003.0
2024-04-08,152962941.888,4418549.888000011,148544392.0
2024-04-09,152083957.888,4418549.888000011,147665408.0
2024-04-11,153577265.888,4418549.888000011,149158716.0
2024-04-12,152436299.888,4418549.888000011,148017750.0
2024-04-15,152878645.888,4418549.888000011,148460096.0
2024-04-16,150032264.888,4418549.888000011,145613715.0
2024-04-17,148152996.888,4418549.888000011,143734447.0
2024-04-18,150382164.888,4418549.888000011,145963615.0
2024-04-19,148167101.888,4418549.888000011,143748552.0
2024-04-22,151072402.888,4418549.888000011,146653853.0
2024-04-23,150066964.888,4418549.888000011,145648415.0
2024-04-24,153493779.888,4418549.888000011,149075230.0
2024-04-25,150637619.888,4418549.888000011,146219070.0
2024-04-26,151327463.888,4418549.888000011,146908914.0
